Capability,Tool,Status,Integrated,Working
General,harness,Metadata Only,No,No
General,hidden_discovery,Metadata Only,No,No
General,hitl,Metadata Only,No,No
General,host_header_reset_poisoning,Metadata Only,No,No
Web Enumeration,HTTPMethodAnalyzertest,Metadata Only,No,No
Web Enumeration,http_extractor,Metadata Only,No,No
General,idor_authenticated,Metadata Only,No,No
General,idor_authz_differential,Metadata Only,No,No
General,index,Metadata Only,No,No
General,indexer,Metadata Only,No,No
General,index_1,Metadata Only,No,No
General,index_13,Metadata Only,No,No
General,index_17,Metadata Only,No,No
General,index_3,Metadata Only,No,No
General,inference,Metadata Only,No,No
General,inferencetest,Metadata Only,No,No
General,install-git-hooks,Metadata Only,No,No
General,INSTALL_2,Metadata Only,No,No
General,jina,Metadata Only,No,No
General,js-analysis,Metadata Only,No,No
General,juiceshop,Metadata Only,No,No
General,jwt_jku_x5u_ssrf,Metadata Only,No,No
General,knowledge,Metadata Only,No,No
General,knowledgejs,Metadata Only,No,No
General,knowledge_base,Metadata Only,No,No
General,langfuse,Metadata Only,No,No
General,lark,Metadata Only,No,No
General,ldap_injection,Metadata Only,No,No
General,legacy,Metadata Only,No,No
General,LICENSE,Metadata Only,No,No
General,LICENSE_1,Metadata Only,No,No
General,LICENSE_10,Metadata Only,No,No
General,LICENSE_12,Metadata Only,No,No
General,LICENSE_13,Metadata Only,No,No
General,LICENSE_2,Metadata Only,No,No
General,LICENSE_4,Metadata Only,No,No
General,LICENSE_6,Metadata Only,No,No
General,LICENSE_7,Metadata Only,No,No
General,LICENSE_9,Metadata Only,No,No
AI,llm,Metadata Only,No,No
AI,llm-analysis,Metadata Only,No,No
AI,llm-client,Metadata Only,No,No
AI,llm-clienttest,Metadata Only,No,No
AI,llm-clienttest_1,Metadata Only,No,No
AI,llm-client_1,Metadata Only,No,No
AI,llm_api,Metadata Only,No,No
General,loader_1,Metadata Only,No,No
General,LOCAL-SETUP,Metadata Only,No,No
AI,main_4,Metadata Only,No,No
AI,main_5,Metadata Only,No,No
General,manager_2,Metadata Only,No,No
General,markdown,Metadata Only,No,No
General,MarkdownRenderer,Metadata Only,No,No
General,markdown_agents,Metadata Only,No,No
Port Scanning,masscan,Metadata Only,No,No
