Repository,Location,Language,Status,Entry Point,Integration Type,Notes
plan_execute_executor,plugins\ai_systems\plan_execute_executor,Python,Metadata Only,,Plugin,
plan_execute_steps_cap,plugins\ai_systems\plan_execute_steps_cap,Python,Metadata Only,,Plugin,
plan_execute_steps_cap_test,plugins\ai_systems\plan_execute_steps_cap_test,Python,Metadata Only,,Plugin,
plan_execute_text,plugins\ai_systems\plan_execute_text,Python,Metadata Only,,Plugin,
plan_execute_text_test,plugins\ai_systems\plan_execute_text_test,Python,Metadata Only,,Plugin,
plugin_3,plugins\ai_systems\plugin_3,Python,Metadata Only,,Plugin,
plugin_center,plugins\ai_systems\plugin_center,Python,Metadata Only,,Plugin,
pnpm-workspace,plugins\ai_systems\pnpm-workspace,Python,Metadata Only,,Plugin,
portscan-all-tcp-ports,plugins\ai_systems\portscan-all-tcp-ports,Python,Metadata Only,,Plugin,
portscan-top-100-udp-ports,plugins\ai_systems\portscan-top-100-udp-ports,Python,Metadata Only,,Plugin,
pre-commit-config,plugins\ai_systems\pre-commit-config,Python,Metadata Only,,Plugin,
pre-recon-code_3,plugins\ai_systems\pre-recon-code_3,Python,Metadata Only,,Plugin,
privilege-escalation,plugins\ai_systems\privilege-escalation,Python,Metadata Only,,Plugin,
production,plugins\ai_systems\production,Python,Metadata Only,,Plugin,
progress-manager,plugins\ai_systems\progress-manager,Python,Metadata Only,,Plugin,
prompt-manager,plugins\ai_systems\prompt-manager,Python,Metadata Only,,Plugin,
prompts,plugins\ai_systems\prompts,Python,Metadata Only,,Plugin,
prompt_select,plugins\ai_systems\prompt_select,Python,Metadata Only,,Plugin,
README_14,plugins\ai_systems\README_14,Python,Metadata Only,,Plugin,
README_34,plugins\ai_systems\README_34,Python,Metadata Only,,Plugin,
README_35,plugins\ai_systems\README_35,Python,Metadata Only,,Plugin,
README_40,plugins\ai_systems\README_40,Python,Metadata Only,,Plugin,
reasoning_trace,plugins\ai_systems\reasoning_trace,Python,Metadata Only,,Plugin,
reasoning_trace_test,plugins\ai_systems\reasoning_trace_test,Python,Metadata Only,,Plugin,
reconftw_prox_deploy,plugins\ai_systems\reconftw_prox_deploy,Python,Metadata Only,,Plugin,
recon_3,plugins\ai_systems\recon_3,Python,Metadata Only,,Plugin,
registry_4,plugins\ai_systems\registry_4,Python,Metadata Only,,Plugin,
registry_8,plugins\ai_systems\registry_8,Python,Metadata Only,,Plugin,
registry_bridge,plugins\ai_systems\registry_bridge,Python,Metadata Only,,Plugin,
remediation-agent,plugins\ai_systems\remediation-agent,Python,Metadata Only,,Plugin,
report-output-provider,plugins\ai_systems\report-output-provider,Python,Metadata Only,,Plugin,
reporting-remediation,plugins\ai_systems\reporting-remediation,Python,Metadata Only,,Plugin,
report_agent,plugins\ai_systems\report_agent,Python,Metadata Only,,Plugin,
result,plugins\ai_systems\result,Python,Metadata Only,,Plugin,
role,plugins\ai_systems\role,Python,Metadata Only,,Plugin,
router,plugins\ai_systems\router,Python,Metadata Only,,Plugin,
runner_reasoning_history_test,plugins\ai_systems\runner_reasoning_history_test,Python,Metadata Only,,Plugin,
run_context,plugins\ai_systems\run_context,Python,Metadata Only,,Plugin,
save-deliverable,plugins\ai_systems\save-deliverable,Python,Metadata Only,,Plugin,
service_1,plugins\ai_systems\service_1,Python,Metadata Only,,Plugin,
