Repository,Expected Components,Recovered Components,Missing Components
git-manager,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
gitbook,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
github,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
github_subdomains,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
gitlab,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
gleif,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
gleif_1,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
glob,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
global,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
gobuster,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
gobuster_2,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
gobuster_tool,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
goreleaser,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
goreleaser_1,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
gospider,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
gosum,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
go_1,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
go_4,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
gpt4all_api,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
graph,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
graphdb,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
graphdb_test,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
graphql,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
graphql-scanner,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
graphql_introspection,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
graphql_scan,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
graphql_tool,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
grepapp,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
ground-truth-agent,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
ground-truth-validator,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
group,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
guided,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
guided_recon,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
guided_recon_1,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
guided_recon_121,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
guided_recon_122,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
guided_view,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
hackertarget,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
hackertarget_1,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
hackertarget_3,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
hakrawler,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
hakrawler_tool,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
handlers,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
harness,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
hashpump,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
headers,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
headers_inject,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
header_checker,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
health-monitor,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
hexstrike-ai-mcp,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
hexstrike_mcp,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
hexstrike_server,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
hidden_discovery,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
hitl,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
hitl_context,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
hitl_middleware,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
holder,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
host_header_reset_poisoning,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
HTB_challenge_Template,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
http,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
http-framework-test,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
httpbinorg__20260515_233823,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
HttpMessageFormatter,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
HTTPMethodAnalyzertest,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
httpx,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
httpx_tool,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
http_clients,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
http_extractor,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
http_headers,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
http_test,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
hudsonrock,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
hunterio,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
i18n,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
idor_authenticated,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
idor_authz_differential,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
idor_sequential,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
impact-exfiltration,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
indexer,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_1,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
index_10,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_11,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
index_12,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_13,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_14,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_15,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_16,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_17,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_3,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_4,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
