Repository,Expected Components,Recovered Components,Missing Components
pre-recon-code_2,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
privilege_escalation_patch,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
project_manager,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
prototype_pollution,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
pyproject,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
quake_search,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
queue,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
race_condition,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
reactive-verifier,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
READMEzh-CN,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_10,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_11,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_13,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_15,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_32,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_33,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_38,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_50,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_54,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_55,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
README_CN_3,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
recon,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
reconx_engine,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
REFERENCE,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
reflected_xss,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
registry,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
release-pypi,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
replay,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
report-snippet,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
report_18,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
report_injector,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
report_injector_1,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
requirements_6,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
reset_juice_shop,"Source, Documentation, Test, Configuration","Source, Documentation","Test, Configuration"
retrieval_postprocess,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
retry,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
review,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
robot,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
robot_en,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
roles,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
route_correlator,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
RunCommand,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
runner,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
saml_xsw,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
sandbox,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
sanitize,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
schedulertest,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
scheduler_2,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
schema-gen-agent,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
scope,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
search,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
SecurityHeaderAnalyzertest,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
server,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
service,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
services_commands,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
service_intelligence_view,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
settings,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
shared,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
sherlock,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
shodan_api,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
shodan_apicpython-313,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
shodan_search,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
sitemap-agent,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
SKILL,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
skills,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
SKILL_11,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
SKILL_13,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
SKILL_3,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
SKILL_7,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
SKILL_9,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
source-gen-agent,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
ssti_polyglot,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
status,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
stored_xss,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
style,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
sub_agent_context,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
sub_agent_context_test,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
SUMMARY,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
swagger_2,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
swagger_parser,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
tasks,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
telemetry,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
terminal,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test-cortex-integration,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test-gen-agent,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
testLogin,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_agent_loop,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_agent_mode_cli,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_anthropic_agent,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_auth_profiles,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_auth_profile_cli,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_auth_runner,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_benchmarks_scoring_common,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_browser_agent,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_chain,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_chain_quality,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_config,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_connection,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_handler_web_probes,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_langfuse_1,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_legacy_probe_migration,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_llm,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_llm_e2e_smoke,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_mcp_action_surface,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_new_high_roi_probes,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_cors_reflection,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_coupon_forging,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_cve_poc,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_deserialization,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_dom_xss,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_file_upload_validation,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_forced_error,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_graphql_introspection,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_hidden_discovery,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_host_header_reset_poisoning,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_idor_authenticated,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_idor_authz_differential,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_idor_sequential,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_ldap_injection,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_mass_assignment,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_path_traversal,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_primitives,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_prototype_pollution,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_race_condition,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_reflected_xss,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_registry,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_ssti_stored,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_stored_xss,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_web3,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_web_cache_deception,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_probe_xxe_upload,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_providers,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_registry_bridge,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_scope,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_spa_probes,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_specialist_agents_coverage,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_stage1,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_tracing_and_telemetry,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_working_memory,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
tracing,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
traffic_parser,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
train-filternet,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
train-simple,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
TROUBLESHOOTING,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
truncate,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
trusted_header_bypass,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
types,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
unauthed-decision-log,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
upgrade,"Source, Documentation, Test, Configuration","Source, Documentation","Test, Configuration"
urlscan,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
utils_2,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
validate-authentication,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
vuln-auth_3,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
vuln-ssrf_3,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
vulnerability,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
wayback,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
waybackurls,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
web3_probe,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
webshell,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
web_intelligence_view,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
web_parser,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
web_probes,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
wechat-robot,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
wechat_robot,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
wordlist,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
workflow-errors,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
workflows,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
workflow_engine_1,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
wpscan,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
writer,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
xxe_upload,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
zap,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
__init___112,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___115,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___116,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___142,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___146,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___153,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___203,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___22,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___34,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___64,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
builtin-tools,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
constants,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
CyberStrikeAIClientStreamListener,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
CyberStrikeAITab1,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
CyberStrikeAITabDotIcon,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
headers_inject,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
hexstrike-ai-mcp,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
main,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
mcp,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
mcp_tools_test,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
monitor_1,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
options,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
README_6,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
SimpleJson,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
sse_keepalive,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
SslTrustAll1,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
SslTrustAllTimeoutSslSocketFactory,"Source, Documentation, Test, Configuration",Documentation,"Source, Test, Configuration"
test_file_transfer,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
test_handlers_misc,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___38,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__init___55,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
__main__,"Source, Documentation, Test, Configuration","Documentation, Configuration","Source, Test"
404StarLinkLogo,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
agent-management,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
agents-for,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
ai_analysis,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
alterations,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
announcements,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
AUP,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
auth_profiles,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
aws,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
aws_recon,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
aws_sm,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
azure,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
azure_recon,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
banner_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
benchmark_runner,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
bizlogic-hunter,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
bucket_correlator,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
bug_report,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
ccr-config-template,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
chat,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
chatgpt_config_curl,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
ChatGPT_key,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
checkov,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
ci_1,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
ci_cd_cloud,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
ci_cd_cloud_mapper,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
claude-executor,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
CLAUDE_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
CLAUDE_3,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
clear,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cli,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloud-security,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloudfront_mapper,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloudmapper,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloud_agent,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloud_attack_surface,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloud_enum,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloud_fingerprint,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloud_models,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloud_pipeline,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
cloud_storage,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
conftest_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
container-breakout,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
CUSTOMIZATION,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
CyberStrikeAITab,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
dec-2025,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
demo,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
demo_1,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
dependabot_3,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
devcontainer,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
DISCLAIMER,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
docker,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
docker-compose,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
docker-compose_1,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
docker-compose_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
docker-compose_3,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
Dockerfile_4,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
Dockerfile_7,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
Dockerfile_9,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
docker_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
docker_manager,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
docker_nightly,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
docker_registry_analyzer,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
domains,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
embedder,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
engagement-planner,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
entrypoint,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
env,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
env_3,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
example-stig-finding,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
executor_test,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
exploit-auth,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
exploit-authz,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
exploit-authz_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
exploit-auth_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
exploit-injection,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
exploit-xss,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
exploit-xss_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
export_menu,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
factory,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
fill-legal,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
fingerprinter,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
fingerprintertest,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
fix-workspace-permissions,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
gcp,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
gcp_recon,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
github-banner,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
gitleaks,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
go_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
graphw00f,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
hexstrike-logo,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
home,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
index_5,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
javascript,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
js-harvester-agent,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
kube-bench,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
kube-hunter,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
kubernetes,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
launch-config,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
leaksapi-banner,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
leaksapi-logo,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_5,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
litellm_provider,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
logo_3,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
main_13,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
main_menu,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
Makefile,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
mindmap_obsidian,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
misconfig-detector,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
misconfigtest,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
mobile-pentester,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
mode,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
orchestrator,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
outputs,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
package_3,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
pacu,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
