Repository,Documentation Type,File,Status
cors_reflection,Usage/Info,plugins\api_security\cors_reflection\README.md,Recovered
cortex,Usage/Info,plugins\api_security\cortex\README.md,Recovered
coupon_forging,Usage/Info,plugins\api_security\coupon_forging\README.md,Recovered
credential_detector,Usage/Info,plugins\api_security\credential_detector\README.md,Recovered
cve_db,Usage/Info,plugins\api_security\cve_db\README.md,Recovered
cve_poc_primitives,Usage/Info,plugins\api_security\cve_poc_primitives\README.md,Recovered
cvss-calculator,Usage/Info,plugins\api_security\cvss-calculator\README.md,Recovered
CyberStrikeAIClient,Usage/Info,plugins\api_security\CyberStrikeAIClient\README.md,Recovered
CyberStrikeAIClientAgentMode,Usage/Info,plugins\api_security\CyberStrikeAIClientAgentMode\README.md,Recovered
dark-matter,Usage/Info,plugins\api_security\dark-matter\README.md,Recovered
dark-mattertest,Usage/Info,plugins\api_security\dark-mattertest\README.md,Recovered
dashboard,Usage/Info,plugins\api_security\dashboard\README.md,Recovered
dashboard_2,Usage/Info,plugins\api_security\dashboard_2\README.md,Recovered
DATA-PRIVACY,Usage/Info,plugins\api_security\DATA-PRIVACY\README.md,Recovered
datasrcs,Usage/Info,plugins\api_security\datasrcs\README.md,Recovered
debug,Usage/Info,plugins\api_security\debug\README.md,Recovered
DECISION,Usage/Info,plugins\api_security\DECISION\README.md,Recovered
deepseek,Usage/Info,plugins\api_security\deepseek\README.md,Recovered
deepseek_api,Usage/Info,plugins\api_security\deepseek_api\README.md,Recovered
default_single_system_prompt,Usage/Info,plugins\api_security\default_single_system_prompt\README.md,Recovered
DEPLOYMENT,Usage/Info,plugins\api_security\DEPLOYMENT\README.md,Recovered
deserialization,Usage/Info,plugins\api_security\deserialization\README.md,Recovered
documentation-agent,Usage/Info,plugins\api_security\documentation-agent\README.md,Recovered
doc_3,Usage/Info,plugins\api_security\doc_3\README.md,Recovered
DPA,Usage/Info,plugins\api_security\DPA\README.md,Recovered
eino,Usage/Info,plugins\api_security\eino\README.md,Recovered
eino_single_runner,Usage/Info,plugins\api_security\eino_single_runner\README.md,Recovered
eino_test,Usage/Info,plugins\api_security\eino_test\README.md,Recovered
eino_transient_retry,Usage/Info,plugins\api_security\eino_transient_retry\README.md,Recovered
eino_transient_retry_test,Usage/Info,plugins\api_security\eino_transient_retry_test\README.md,Recovered
embedding,Usage/Info,plugins\api_security\embedding\README.md,Recovered
endpoint_classifier,Usage/Info,plugins\api_security\endpoint_classifier\README.md,Recovered
engineapi_test,Usage/Info,plugins\api_security\engineapi_test\README.md,Recovered
envexpand_test,Usage/Info,plugins\api_security\envexpand_test\README.md,Recovered
env_2,Usage/Info,plugins\api_security\env_2\README.md,Recovered
env_4,Usage/Info,plugins\api_security\env_4\README.md,Recovered
error-handling,Usage/Info,plugins\api_security\error-handling\README.md,Recovered
ErrorPatternAnalyzertest,Usage/Info,plugins\api_security\ErrorPatternAnalyzertest\README.md,Recovered
errors,Usage/Info,plugins\api_security\errors\README.md,Recovered
evidence,Usage/Info,plugins\api_security\evidence\README.md,Recovered
executor_2,Usage/Info,plugins\api_security\executor_2\README.md,Recovered
exploit-authz_1,Usage/Info,plugins\api_security\exploit-authz_1\README.md,Recovered
exploit-authz_3,Usage/Info,plugins\api_security\exploit-authz_3\README.md,Recovered
