Repository,Primary Category,Secondary Category,Language,Recovery Score,Status
plugin_loader,Utilities,Framework Components,Python,0.0,Wrapper Only
portscan-guess-tcp-ports,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
README_12,Utilities,Framework Components,Python,0.0,Wrapper Only
registry_3,Utilities,Framework Components,Python,0.0,Wrapper Only
releaserc,Utilities,Framework Components,Python,0.0,Wrapper Only
renderers,Utilities,Framework Components,Python,0.0,Wrapper Only
test_plugin_loader,Utilities,Framework Components,Python,0.0,Wrapper Only
tools_commands,Utilities,Framework Components,Python,0.0,Wrapper Only
tooltipcpython-313,Utilities,Framework Components,Python,0.0,Wrapper Only
validatorcpython-313,Utilities,Framework Components,Python,0.0,Wrapper Only
volatility3,Utilities,Framework Components,Python,0.0,Wrapper Only
whatweb_2,Web Enumeration,Content Discovery,Python,0.0,Wrapper Only
__init__cpython-313,Utilities,Framework Components,Python,0.0,Wrapper Only
__init__cpython-313_1,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___212,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___213,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___214,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___215,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___216,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___217,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___28,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___43,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___58,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___71,Utilities,Framework Components,Python,0.0,Wrapper Only
2dd29513_findings,Utilities,Framework Components,Python,15.0,Wrapper Only
2dd29513_run_B_safe,Utilities,Framework Components,Python,15.0,Wrapper Only
acquifinder,Utilities,Framework Components,Python,0.0,Wrapper Only
active-crawl,Web Enumeration,Content Discovery,Python,35.0,Wrapper Only
active_recon,Utilities,Framework Components,Python,0.0,Wrapper Only
active_scanning,Vulnerability Scanning,Assessment,Python,15.0,Wrapper Only
ad-attacker,Utilities,Framework Components,Python,15.0,Wrapper Only
adapter,Utilities,Framework Components,Python,35.0,Wrapper Only
addr,Utilities,Framework Components,Python,35.0,Wrapper Only
agent,AI Agents,Automation,Python,35.0,Wrapper Only
AGENTS,AI Agents,Automation,Python,15.0,Wrapper Only
AGENTS_1,AI Agents,Automation,Python,15.0,Wrapper Only
agent_3,AI Agents,Automation,Python,35.0,Wrapper Only
agent_loop,AI Agents,Automation,Python,35.0,Metadata Only
alerts,Utilities,Framework Components,Python,15.0,Wrapper Only
alerts_1,Utilities,Framework Components,Python,15.0,Wrapper Only
alienvault,Utilities,Framework Components,Python,35.0,Wrapper Only
alterx,Utilities,Framework Components,Python,35.0,Wrapper Only
amass,Asset Discovery,Subdomain Enumeration,Python,35.0,Wrapper Only
amass_2,Utilities,Framework Components,Python,15.0,Wrapper Only
analyze_repos,Utilities,Framework Components,Python,35.0,Metadata Only
anomaly_detector,Utilities,Framework Components,Python,35.0,Wrapper Only
anomaly_engine,Utilities,Framework Components,Python,35.0,Wrapper Only
anthropic,Utilities,Framework Components,Python,35.0,Wrapper Only
anubis,Utilities,Framework Components,Python,35.0,Wrapper Only
apex,Utilities,Framework Components,Python,35.0,Wrapper Only
api-security,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
api_attack_surface,Utilities,Framework Components,Python,15.0,Wrapper Only
api_fingerprint,Utilities,Framework Components,Python,35.0,Wrapper Only
api_models,Utilities,Framework Components,Python,35.0,Wrapper Only
api_path_discovery,Utilities,Framework Components,Python,35.0,Wrapper Only
api_security_agent,AI Agents,Automation,Python,35.0,Metadata Only
api_surface_mapper,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
apply_triage_labels,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
aquatone,Utilities,Framework Components,Python,35.0,Metadata Only
architect-infer-agent,AI Agents,Automation,Python,35.0,Wrapper Only
ARCHITECTURE,Utilities,Framework Components,Python,15.0,Wrapper Only
ARCHITECTURE_1,Utilities,Framework Components,Python,15.0,Wrapper Only
arjun_tool,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
artifact-manifest,Utilities,Framework Components,Python,35.0,Metadata Only
asn,Utilities,Framework Components,Python,15.0,Wrapper Only
asncache,Utilities,Framework Components,Python,35.0,Wrapper Only
asnmap,Utilities,Framework Components,Python,35.0,Wrapper Only
asn_intel,Utilities,Framework Components,Python,0.0,Wrapper Only
assetfinder,Utilities,Framework Components,Python,35.0,Wrapper Only
assets,Utilities,Framework Components,Python,35.0,Wrapper Only
assets_test,Utilities,Framework Components,Python,35.0,Wrapper Only
asset_classifier,Utilities,Framework Components,Python,35.0,Wrapper Only
asset_decode,Utilities,Framework Components,Python,35.0,Wrapper Only
asset_secrets_scan,Vulnerability Scanning,Assessment,Python,35.0,Wrapper Only
assoc,Utilities,Framework Components,Python,35.0,Wrapper Only
attack-chain,AI Agents,Automation,Python,15.0,Wrapper Only
attack-planner,Utilities,Framework Components,Python,15.0,Wrapper Only
attack-surface-enumeration,Utilities,Framework Components,Python,15.0,Wrapper Only
attack_surface_mapper,Utilities,Framework Components,Python,35.0,Wrapper Only
attack_surface_mapping,Utilities,Framework Components,Python,15.0,Wrapper Only
auth-flow-analyzer,Utilities,Framework Components,Python,35.0,Wrapper Only
authed-findings,Utilities,Framework Components,Python,15.0,Wrapper Only
authed-stderr,Utilities,Framework Components,Python,15.0,Metadata Only
authenticated_scan,Vulnerability Scanning,Assessment,Python,35.0,Wrapper Only
auth_handler,Utilities,Framework Components,Python,35.0,Wrapper Only
auth_session,Utilities,Framework Components,Python,35.0,Wrapper Only
autnum,Utilities,Framework Components,Python,35.0,Wrapper Only
autsys,Utilities,Framework Components,Python,35.0,Wrapper Only
autsys_1,Utilities,Framework Components,Python,35.0,Wrapper Only
axiom,Utilities,Framework Components,Python,55.0,Partially Recovered
backlog,Utilities,Framework Components,Python,35.0,Wrapper Only
backlog_1,Utilities,Framework Components,Python,35.0,Wrapper Only
backlog_test,Utilities,Framework Components,Python,35.0,Wrapper Only
banner,Utilities,Framework Components,Python,35.0,Wrapper Only
banners,Utilities,Framework Components,Python,35.0,Wrapper Only
banner_3,Utilities,Framework Components,Python,15.0,Metadata Only
banner_url,Utilities,Framework Components,Python,35.0,Wrapper Only
base,Utilities,Framework Components,Python,35.0,Wrapper Only
base_3,Utilities,Framework Components,Python,35.0,Wrapper Only
base_5,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
benchmark_juice_shop,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
bevigil,Utilities,Framework Components,Python,35.0,Wrapper Only
bigbountyrecon,Utilities,Framework Components,Python,0.0,Wrapper Only
binaryedge,Utilities,Framework Components,Python,35.0,Wrapper Only
bing,Utilities,Framework Components,Python,35.0,Wrapper Only
blackbox-config-agent,AI Agents,Automation,Python,35.0,Wrapper Only
blackbox-context,Utilities,Framework Components,Python,15.0,Wrapper Only
blacklist_test,Utilities,Framework Components,Python,35.0,Wrapper Only
book,Utilities,Framework Components,Python,15.0,Metadata Only
browser-crawler-agent,AI Agents,Automation,Python,35.0,Wrapper Only
browser_agent,AI Agents,Automation,Python,35.0,Wrapper Only
bufferover,Utilities,Framework Components,Python,35.0,Wrapper Only
bufferoverrun,Utilities,Framework Components,Python,35.0,Wrapper Only
bug-bounty,Utilities,Framework Components,Python,15.0,Wrapper Only
bug_2,Utilities,Framework Components,Python,15.0,Metadata Only
bug_report_2,Utilities,Framework Components,Python,15.0,Metadata Only
bug_report_3,Utilities,Framework Components,Python,15.0,Wrapper Only
build-test,Utilities,Framework Components,Python,15.0,Wrapper Only
builder,Utilities,Framework Components,Python,35.0,Wrapper Only
builtwith,Utilities,Framework Components,Python,35.0,Wrapper Only
burp_suite,Utilities,Framework Components,Python,15.0,Wrapper Only
business_logic_fuzz,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
c1ae665a_findings,Utilities,Framework Components,Python,15.0,Wrapper Only
c1ae665a_run_A_default,Utilities,Framework Components,Python,15.0,Wrapper Only
c2-operator,Utilities,Framework Components,Python,15.0,Wrapper Only
c2_1,Utilities,Framework Components,Python,35.0,Wrapper Only
c99,Utilities,Framework Components,Python,35.0,Wrapper Only
capability_map,Utilities,Framework Components,Python,35.0,Metadata Only
categories,Utilities,Framework Components,Python,35.0,Wrapper Only
censys,Utilities,Framework Components,Python,35.0,Wrapper Only
censys_test,Utilities,Framework Components,Python,35.0,Wrapper Only
certspotter,Utilities,Framework Components,Python,35.0,Wrapper Only
certspotter_2,Utilities,Framework Components,Python,35.0,Wrapper Only
chain_agent,AI Agents,Automation,Python,35.0,Wrapper Only
CHANGELOG,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_121,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_122,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_123,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_13,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_14,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_15,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_16,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_17,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_18,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_181,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_182,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_19,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_2,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_20,Utilities,Framework Components,Python,15.0,Wrapper Only
CHANGELOG_3,Utilities,Framework Components,Python,15.0,Wrapper Only
chaos,Utilities,Framework Components,Python,35.0,Wrapper Only
chaos_2,Utilities,Framework Components,Python,35.0,Wrapper Only
chat_uploads,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
check_artifacts,Vulnerability Scanning,Assessment,Python,55.0,Partially Recovered
check_artifacts_all,Vulnerability Scanning,Assessment,Python,55.0,Partially Recovered
chinaz,Utilities,Framework Components,Python,35.0,Wrapper Only
chunk_eino,Utilities,Framework Components,Python,35.0,Metadata Only
ci-cd,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
cicd-redteam,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
claims,AI Agents,Automation,Python,35.0,Wrapper Only
CLAUDE_4,Utilities,Framework Components,Python,15.0,Wrapper Only
client_1,Utilities,Framework Components,Python,35.0,Wrapper Only
client_4,Utilities,Framework Components,Python,35.0,Wrapper Only
clitest,Utilities,Framework Components,Python,35.0,Wrapper Only
cli_1,Utilities,Framework Components,Python,35.0,Wrapper Only
cli_2,Utilities,Framework Components,Python,35.0,Wrapper Only
cli_3,Utilities,Framework Components,Python,35.0,Wrapper Only
cli_4,Utilities,Framework Components,Python,35.0,Wrapper Only
cli_5,Utilities,Framework Components,Python,35.0,Wrapper Only
cname,Utilities,Framework Components,Python,35.0,Wrapper Only
codecov,Utilities,Framework Components,Python,15.0,Wrapper Only
commoncrawl,Web Enumeration,Content Discovery,Python,35.0,Wrapper Only
common_2,Utilities,Framework Components,Python,55.0,Partially Recovered
company_enrich,Utilities,Framework Components,Python,35.0,Wrapper Only
company_rounds,Utilities,Framework Components,Python,35.0,Wrapper Only
company_search,Utilities,Framework Components,Python,35.0,Wrapper Only
compare_baseline,Utilities,Framework Components,Python,55.0,Partially Recovered
compliance,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
confidence_engine,Utilities,Framework Components,Python,35.0,Wrapper Only
config-parser,Utilities,Framework Components,Python,35.0,Wrapper Only
config-schema,Utilities,Framework Components,Python,15.0,Wrapper Only
config-schema_1,Utilities,Framework Components,Python,15.0,Wrapper Only
configtest,Utilities,Framework Components,Python,35.0,Wrapper Only
configure_mcp,Utilities,Framework Components,Python,35.0,Wrapper Only
config_1,Utilities,Framework Components,Python,35.0,Wrapper Only
config_test,Utilities,Framework Components,Python,35.0,Metadata Only
const,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
constants_1,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
contact,Utilities,Framework Components,Python,35.0,Wrapper Only
container-api,AI Agents,Automation,Python,15.0,Wrapper Only
content-discovery-agent,AI Agents,Automation,Python,35.0,Wrapper Only
content_discovery,Utilities,Framework Components,Python,0.0,Wrapper Only
context_analyzer,Utilities,Framework Components,Python,35.0,Wrapper Only
contracts,Utilities,Framework Components,Python,35.0,Wrapper Only
CONTRIBUTING,Utilities,Framework Components,Python,15.0,Wrapper Only
CONTRIBUTING_5,Utilities,Framework Components,Python,15.0,Wrapper Only
cookie_prefix_bypass,Utilities,Framework Components,Python,35.0,Wrapper Only
core,Utilities,Framework Components,Python,55.0,Partially Recovered
correlation_engine,Utilities,Framework Components,Python,35.0,Wrapper Only
COVERAGE,Utilities,Framework Components,Python,15.0,Wrapper Only
COVERAGE_1,Utilities,Framework Components,Python,15.0,Wrapper Only
crawler,Web Enumeration,Content Discovery,Python,35.0,Wrapper Only
crawler-agent,AI Agents,Automation,Python,35.0,Wrapper Only
crawlercpython-313,Web Enumeration,Content Discovery,Python,15.0,Wrapper Only
crawler_1,Web Enumeration,Content Discovery,Python,35.0,Wrapper Only
crawler_2,Web Enumeration,Content Discovery,Python,35.0,Wrapper Only
crawler_3,Web Enumeration,Content Discovery,Python,35.0,Wrapper Only
credential-tester,Utilities,Framework Components,Python,15.0,Wrapper Only
credentialed-scans,Vulnerability Scanning,Assessment,Python,15.0,Wrapper Only
crlfuzz,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
crtsh_1,Utilities,Framework Components,Python,35.0,Wrapper Only
crtsh_3,Utilities,Framework Components,Python,35.0,Wrapper Only
csp_extractor,Utilities,Framework Components,Python,0.0,Wrapper Only
ctf-solver,Utilities,Framework Components,Python,15.0,Wrapper Only
curl,Utilities,Framework Components,Python,35.0,Metadata Only
dalfox,Vulnerability Scanning,XSS Discovery,Python,15.0,Metadata Only
dashboard_1,Utilities,Framework Components,Python,35.0,Wrapper Only
data-flow-mapper,Utilities,Framework Components,Python,35.0,Wrapper Only
database_1,Utilities,Framework Components,Python,35.0,Wrapper Only
datasources,Utilities,Framework Components,Python,15.0,Wrapper Only
DeathNote_1,Utilities,Framework Components,Python,15.0,Wrapper Only
decision_engine,Utilities,Framework Components,Python,35.0,Wrapper Only
decision_engine_1,Utilities,Framework Components,Python,35.0,Wrapper Only
dedup,Utilities,Framework Components,Python,35.0,Wrapper Only
deduplicator,Utilities,Framework Components,Python,35.0,Wrapper Only
DEPENDENCIES,Utilities,Framework Components,Python,15.0,Wrapper Only
DESIGN-FEATURES,Utilities,Framework Components,Python,15.0,Wrapper Only
detection-engineer,Utilities,Framework Components,Python,15.0,Wrapper Only
detection_engine,Utilities,Framework Components,Python,35.0,Wrapper Only
diff,Utilities,Framework Components,Python,35.0,Metadata Only
digitalyama,Utilities,Framework Components,Python,35.0,Wrapper Only
digitorus,Utilities,Framework Components,Python,35.0,Wrapper Only
ding,Utilities,Framework Components,Python,35.0,Metadata Only
dirbrute,Utilities,Framework Components,Python,35.0,Wrapper Only
dirbuster,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
dirbuster_2,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
directories,Utilities,Framework Components,Python,15.0,Wrapper Only
dirsearch,Utilities,Framework Components,Python,15.0,Metadata Only
dirsearch_2,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
dirsearch_tool,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
DISCLAIMER_2,AI Agents,Automation,Python,15.0,Wrapper Only
dispatch,Utilities,Framework Components,Python,35.0,Wrapper Only
dispatcher,Utilities,Framework Components,Python,35.0,Wrapper Only
dns,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dns-reverse-lookup,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dns-zone-transfer,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnsdb,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnsdumpster,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnsenum,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnsenum_tool,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnshistory,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnslog,DNS Intelligence,Subdomain Enumeration,Python,15.0,Wrapper Only
dnsrecon,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnsrecon-subdomain-bruteforce,AI Agents,Automation,Python,35.0,Wrapper Only
dnsrecon_tool,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnsrepo,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnsrepo_2,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dnsx,DNS Intelligence,Subdomain Enumeration,Python,15.0,Wrapper Only
dnsx_tool,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dns_extractor,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dns_intelligence,DNS Intelligence,Subdomain Enumeration,Python,0.0,Wrapper Only
dns_pipeline,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dns_test,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
dns_tool,DNS Intelligence,Subdomain Enumeration,Python,35.0,Wrapper Only
doc,Utilities,Framework Components,Python,35.0,Wrapper Only
Dockerfile,Utilities,Framework Components,Python,15.0,Wrapper Only
Dockerfile_1,Utilities,Framework Components,Python,15.0,Wrapper Only
Dockerfile_10,Utilities,Framework Components,Python,15.0,Wrapper Only
Dockerfile_11,Utilities,Framework Components,Python,15.0,Wrapper Only
Dockerfile_2,Utilities,Framework Components,Python,15.0,Wrapper Only
Dockerfile_5,Utilities,Framework Components,Python,15.0,Wrapper Only
Dockerfile_6,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
Dockerfile_8,Utilities,Framework Components,Python,15.0,Wrapper Only
dockerhub-push,Utilities,Framework Components,Python,15.0,Wrapper Only
docs,Utilities,Framework Components,Python,15.0,Wrapper Only
docs_1,Utilities,Framework Components,Python,35.0,Wrapper Only
doctor,Utilities,Framework Components,Python,55.0,Partially Recovered
doc_1,Utilities,Framework Components,Python,35.0,Wrapper Only
doc_2,Utilities,Framework Components,Python,35.0,Wrapper Only
domainsproject,AI Agents,Automation,Python,35.0,Wrapper Only
domain_record,AI Agents,Automation,Python,35.0,Wrapper Only
dom_xss,Utilities,Framework Components,Python,35.0,Wrapper Only
dot,Utilities,Framework Components,Python,35.0,Wrapper Only
dot_test,Utilities,Framework Components,Python,35.0,Wrapper Only
driftnet,Utilities,Framework Components,Python,35.0,Wrapper Only
duckduckgo,Utilities,Framework Components,Python,35.0,Wrapper Only
efd01c52_findings,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
efd01c52_llm_coordinated_run,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
efd01c52_probe_runs,Utilities,Framework Components,Python,15.0,Wrapper Only
eino_tool_name_injection,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
email,AI Agents,Automation,Python,35.0,Wrapper Only
employees,Utilities,Framework Components,Python,35.0,Wrapper Only
en-US,Utilities,Framework Components,Python,15.0,Wrapper Only
engine,Utilities,Framework Components,Python,35.0,Wrapper Only
engineapi,Utilities,Framework Components,Python,35.0,Wrapper Only
engine_1,Utilities,Framework Components,Python,35.0,Wrapper Only
enhanced-report,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
enumerate,Utilities,Framework Components,Python,35.0,Wrapper Only
enumerate_test,Utilities,Framework Components,Python,35.0,Wrapper Only
epistemic-reasoning,Utilities,Framework Components,Python,15.0,Wrapper Only
evaluator,Utilities,Framework Components,Python,35.0,Wrapper Only
EVIDENCE,Utilities,Framework Components,Python,15.0,Wrapper Only
evidence-graph,Utilities,Framework Components,Python,35.0,Wrapper Only
evidence-normalizers,Utilities,Framework Components,Python,35.0,Wrapper Only
example-blackbox-config,Utilities,Framework Components,Python,15.0,Wrapper Only
example-config,Utilities,Framework Components,Python,15.0,Wrapper Only
example-config_1,Utilities,Framework Components,Python,15.0,Wrapper Only
example-detection-rule,Utilities,Framework Components,Python,15.0,Wrapper Only
example-engagement-plan,Utilities,Framework Components,Python,15.0,Wrapper Only
example-nmap-analysis,Utilities,Framework Components,Python,15.0,Wrapper Only
example-report-excerpt,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
example_sqlmap,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
example_sqlmap_1,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
execution,Utilities,Framework Components,Python,35.0,Metadata Only
execution-log,Utilities,Framework Components,Python,15.0,Wrapper Only
execution_view,Utilities,Framework Components,Python,35.0,Wrapper Only
executor,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
executor_helpers,Utilities,Framework Components,Python,35.0,Wrapper Only
exif_metadata,Utilities,Framework Components,Python,35.0,Wrapper Only
explanation_engine,Utilities,Framework Components,Python,35.0,Wrapper Only
exploit-chainer,AI Agents,Automation,Python,0.0,Wrapper Only
exploit-guide,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
exploit-ssrf,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
exploit-ssrf_2,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
exporter,Utilities,Framework Components,Python,35.0,Wrapper Only
exposure_classifier,Utilities,Framework Components,Python,35.0,Wrapper Only
external-recon,Utilities,Framework Components,Python,15.0,Wrapper Only
extractor,Utilities,Framework Components,Python,35.0,Wrapper Only
false_positive_filter,Utilities,Framework Components,Python,35.0,Wrapper Only
fastapi-scaffold,Utilities,Framework Components,Python,35.0,Wrapper Only
feature_request_3,Utilities,Framework Components,Python,15.0,Wrapper Only
feroxbuster,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
ffuf,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
ffuf_2,Utilities,Framework Components,Python,15.0,Wrapper Only
ffuf_tool,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
fierce,Utilities,Framework Components,Python,15.0,Wrapper Only
fierce_tool,Utilities,Framework Components,Python,35.0,Wrapper Only
file,Utilities,Framework Components,Python,35.0,Wrapper Only
files,Utilities,Framework Components,Python,35.0,Wrapper Only
file_upload_validation,Utilities,Framework Components,Python,35.0,Wrapper Only
filter,Utilities,Framework Components,Python,35.0,Wrapper Only
filternet-bayes,Utilities,Framework Components,Python,15.0,Wrapper Only
find,Utilities,Framework Components,Python,35.0,Wrapper Only
findings_1,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
findings_db,Utilities,Framework Components,Python,35.0,Wrapper Only
findomain,AI Agents,Automation,Python,35.0,Wrapper Only
findsubdomains,AI Agents,Automation,Python,35.0,Wrapper Only
fingerprinting,Utilities,Framework Components,Python,35.0,Wrapper Only
fingerprints,Utilities,Framework Components,Python,35.0,Wrapper Only
fofa,Utilities,Framework Components,Python,35.0,Wrapper Only
fofa_2,Utilities,Framework Components,Python,35.0,Wrapper Only
fofa_search,Utilities,Framework Components,Python,15.0,Wrapper Only
forensics-analyst,Utilities,Framework Components,Python,15.0,Wrapper Only
fork-philosophy,Utilities,Framework Components,Python,15.0,Wrapper Only
fping_tool,Utilities,Framework Components,Python,35.0,Metadata Only
fqdn,Utilities,Framework Components,Python,35.0,Wrapper Only
fqdn_endpoint,Utilities,Framework Components,Python,35.0,Wrapper Only
fqdn_lookup,Utilities,Framework Components,Python,35.0,Wrapper Only
fullhunt,Utilities,Framework Components,Python,35.0,Wrapper Only
full_v0,Utilities,Framework Components,Python,15.0,Wrapper Only
full_v1,Utilities,Framework Components,Python,15.0,Wrapper Only
full_v2,Utilities,Framework Components,Python,15.0,Wrapper Only
FUNDING_1,Utilities,Framework Components,Python,15.0,Wrapper Only
fuzzy,Utilities,Framework Components,Python,35.0,Wrapper Only
fuzz_wordlist,Utilities,Framework Components,Python,15.0,Wrapper Only
gau,Utilities,Framework Components,Python,35.0,Wrapper Only
gau_2,Utilities,Framework Components,Python,15.0,Wrapper Only
generator,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
generatorcpython-313,Utilities,Framework Components,Python,15.0,Metadata Only
gexf,Utilities,Framework Components,Python,35.0,Wrapper Only
gexf_test,Utilities,Framework Components,Python,35.0,Wrapper Only
ghost-traffic,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
ghost-traffictest,Web Enumeration,Content Discovery,Python,35.0,Metadata Only
gitbook,Utilities,Framework Components,Python,15.0,Metadata Only
github,Utilities,Framework Components,Python,35.0,Wrapper Only
github_subdomains,AI Agents,Automation,Python,35.0,Wrapper Only
gitlab,Utilities,Framework Components,Python,35.0,Wrapper Only
gleif,Utilities,Framework Components,Python,35.0,Wrapper Only
gleif_1,Utilities,Framework Components,Python,35.0,Wrapper Only
global,Utilities,Framework Components,Python,15.0,Wrapper Only
gobuster,Utilities,Framework Components,Python,15.0,Wrapper Only
gobuster_2,Utilities,Framework Components,Python,15.0,Wrapper Only
gobuster_tool,Utilities,Framework Components,Python,35.0,Wrapper Only
goreleaser_1,Utilities,Framework Components,Python,15.0,Wrapper Only
gospider,Utilities,Framework Components,Python,35.0,Wrapper Only
go_1,Utilities,Framework Components,Python,15.0,Wrapper Only
go_4,Utilities,Framework Components,Python,15.0,Wrapper Only
graph,Utilities,Framework Components,Python,35.0,Wrapper Only
graphdb,Utilities,Framework Components,Python,35.0,Wrapper Only
graphdb_test,Utilities,Framework Components,Python,35.0,Wrapper Only
graphql_scan,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
grepapp,Utilities,Framework Components,Python,35.0,Wrapper Only
ground-truth-validator,Utilities,Framework Components,Python,35.0,Metadata Only
guided,Utilities,Framework Components,Python,35.0,Wrapper Only
guided_recon,Utilities,Framework Components,Python,35.0,Wrapper Only
guided_recon_1,Utilities,Framework Components,Python,35.0,Wrapper Only
guided_recon_121,Utilities,Framework Components,Python,35.0,Wrapper Only
guided_recon_122,Utilities,Framework Components,Python,35.0,Wrapper Only
guided_view,Utilities,Framework Components,Python,35.0,Wrapper Only
hackertarget_1,Utilities,Framework Components,Python,35.0,Wrapper Only
hackertarget_3,Utilities,Framework Components,Python,35.0,Wrapper Only
hakrawler,Utilities,Framework Components,Python,15.0,Wrapper Only
hakrawler_tool,Utilities,Framework Components,Python,35.0,Wrapper Only
handlers,Utilities,Framework Components,Python,35.0,Wrapper Only
headers,Utilities,Framework Components,Python,35.0,Wrapper Only
header_checker,Vulnerability Scanning,Assessment,Python,35.0,Wrapper Only
hexstrike_mcp,Utilities,Framework Components,Python,35.0,Wrapper Only
hexstrike_server,Utilities,Framework Components,Python,35.0,Wrapper Only
HTB_challenge_Template,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
http,Utilities,Framework Components,Python,35.0,Wrapper Only
http-framework-test,Utilities,Framework Components,Python,15.0,Wrapper Only
httpbinorg__20260515_233823,Utilities,Framework Components,Python,15.0,Wrapper Only
httpx,Web Enumeration,HTTP Probing,Python,15.0,Wrapper Only
httpx_tool,Utilities,Framework Components,Python,35.0,Wrapper Only
http_clients,Utilities,Framework Components,Python,35.0,Wrapper Only
http_headers,Utilities,Framework Components,Python,0.0,Wrapper Only
http_test,Utilities,Framework Components,Python,35.0,Wrapper Only
hudsonrock,Utilities,Framework Components,Python,35.0,Wrapper Only
hunterio,Utilities,Framework Components,Python,35.0,Wrapper Only
