Capability,Repositories,Recommendation,Reason
Utilities,asvs-mapper,Archive,Duplicate/Lower score
Utilities,async_prompt,Archive,Duplicate/Lower score
Utilities,audit_1,Archive,Duplicate/Lower score
Utilities,aup_consent,Archive,Duplicate/Lower score
Utilities,auth,Archive,Duplicate/Lower score
Utilities,auth_analyzer,Archive,Duplicate/Lower score
Utilities,auth_cache,Archive,Duplicate/Lower score
Utilities,backend,Archive,Duplicate/Lower score
Utilities,banner_analyzer,Archive,Duplicate/Lower score
Utilities,billing-detection,Archive,Duplicate/Lower score
Utilities,build,Archive,Duplicate/Lower score
Utilities,build-mvn,Archive,Duplicate/Lower score
Utilities,burp_client,Archive,Duplicate/Lower score
Utilities,burp_commands,Archive,Duplicate/Lower score
Utilities,c2_lifecycle,Archive,Duplicate/Lower score
Utilities,c2_tools,Archive,Duplicate/Lower score
Utilities,captcha_replay,Archive,Duplicate/Lower score
Utilities,chat-files,Archive,Duplicate/Lower score
Utilities,chatgpt,Archive,Duplicate/Lower score
Utilities,chatgpt_api,Archive,Duplicate/Lower score
Utilities,chatgpt_config_sample,Archive,Duplicate/Lower score
Utilities,chat_config,Archive,Duplicate/Lower score
Utilities,citations,Archive,Duplicate/Lower score
Utilities,claude_bridge,Archive,Duplicate/Lower score
Utilities,CODE_OF_CONDUCT,Archive,Duplicate/Lower score
Utilities,config-loader,Archive,Duplicate/Lower score
Utilities,config_5,Archive,Duplicate/Lower score
Utilities,config_6,Archive,Duplicate/Lower score
Utilities,conftest,Archive,Duplicate/Lower score
Utilities,constants,Archive,Duplicate/Lower score
Utilities,content_fingerprint,Archive,Duplicate/Lower score
Utilities,CONTRIBUTING_2,Archive,Duplicate/Lower score
Utilities,CONTRIBUTING_3,Archive,Duplicate/Lower score
Utilities,CONTRIBUTING_4,Archive,Duplicate/Lower score
Utilities,conversation,Archive,Duplicate/Lower score
Utilities,cors_reflection,Archive,Duplicate/Lower score
Utilities,cortex,Archive,Duplicate/Lower score
Utilities,coupon_forging,Archive,Duplicate/Lower score
Utilities,credential_detector,Archive,Duplicate/Lower score
Utilities,cve_db,Archive,Duplicate/Lower score
Utilities,cve_poc_primitives,Archive,Duplicate/Lower score
Utilities,cvss-calculator,Archive,Duplicate/Lower score
Utilities,dark-matter,Archive,Duplicate/Lower score
Utilities,dark-mattertest,Archive,Duplicate/Lower score
Utilities,dashboard_2,Archive,Duplicate/Lower score
Utilities,DATA-PRIVACY,Archive,Duplicate/Lower score
Utilities,datasrcs,Archive,Duplicate/Lower score
Utilities,debug,Archive,Duplicate/Lower score
Utilities,DECISION,Archive,Duplicate/Lower score
Utilities,deepseek,Archive,Duplicate/Lower score
Utilities,deepseek_api,Archive,Duplicate/Lower score
Utilities,default_single_system_prompt,Archive,Duplicate/Lower score
Utilities,DEPLOYMENT,Archive,Duplicate/Lower score
Utilities,deserialization,Archive,Duplicate/Lower score
Utilities,doc_3,Archive,Duplicate/Lower score
Utilities,DPA,Archive,Duplicate/Lower score
Utilities,eino,Archive,Duplicate/Lower score
Utilities,eino_single_runner,Archive,Duplicate/Lower score
Utilities,eino_test,Archive,Duplicate/Lower score
Utilities,eino_transient_retry,Archive,Duplicate/Lower score
Utilities,eino_transient_retry_test,Archive,Duplicate/Lower score
Utilities,embedding,Archive,Duplicate/Lower score
Utilities,endpoint_classifier,Archive,Duplicate/Lower score
Utilities,engineapi_test,Archive,Duplicate/Lower score
Utilities,envexpand_test,Archive,Duplicate/Lower score
Utilities,env_2,Archive,Duplicate/Lower score
Utilities,env_4,Archive,Duplicate/Lower score
Utilities,error-handling,Archive,Duplicate/Lower score
Utilities,ErrorPatternAnalyzertest,Archive,Duplicate/Lower score
Utilities,errors,Archive,Duplicate/Lower score
Utilities,evidence,Archive,Duplicate/Lower score
Utilities,executor_2,Archive,Duplicate/Lower score
Utilities,express-scaffold,Archive,Duplicate/Lower score
Utilities,external_mcp_test,Archive,Duplicate/Lower score
Utilities,extract_cookie,Archive,Duplicate/Lower score
Utilities,facebook,Archive,Duplicate/Lower score
Utilities,feature-collector,Archive,Duplicate/Lower score
Utilities,forced_error,Archive,Duplicate/Lower score
Utilities,frontend-i18n,Archive,Duplicate/Lower score
Utilities,gemini,Archive,Duplicate/Lower score
Utilities,gemini_api,Archive,Duplicate/Lower score
Utilities,getting-started,Archive,Duplicate/Lower score
Utilities,gpt4all_api,Archive,Duplicate/Lower score
Utilities,graphql,Archive,Duplicate/Lower score
Utilities,graphql_introspection,Archive,Duplicate/Lower score
Utilities,graphql_tool,Archive,Duplicate/Lower score
Utilities,hackertarget,Archive,Duplicate/Lower score
Utilities,harness,Archive,Duplicate/Lower score
Utilities,hidden_discovery,Archive,Duplicate/Lower score
Utilities,hitl,Archive,Duplicate/Lower score
Utilities,host_header_reset_poisoning,Archive,Duplicate/Lower score
Utilities,HTTPMethodAnalyzertest,Archive,Duplicate/Lower score
Utilities,http_extractor,Archive,Duplicate/Lower score
Utilities,idor_authenticated,Archive,Duplicate/Lower score
Utilities,idor_authz_differential,Archive,Duplicate/Lower score
Utilities,indexer,Archive,Duplicate/Lower score
Utilities,index_1,Archive,Duplicate/Lower score
Utilities,index_13,Archive,Duplicate/Lower score
Utilities,index_17,Archive,Duplicate/Lower score
Utilities,inference,Archive,Duplicate/Lower score
Utilities,inferencetest,Archive,Duplicate/Lower score
